k,burst,wallet,ok,sendMs,miningMs,totalMs,gasUsed,blockNumber
50,2,0x8b32a4195Fe6b036AcE5b1fF93512a4e11B8aa1b,1,1358.37,30523.85,31882.22,3084424,44401135
50,2,0x52c02e89991d37b4E5EDC88232d201a77E250F4e,1,1586.39,30430.50,32016.89,3084424,44401135
50,2,0x1472868c459656bEa7De8Bdb8644Ad21E7685C13,1,1286.67,30863.51,32150.18,3084424,44401135
50,2,0xC98b6A7BB52BCf7D92e003604d843C6C1d1e9a83,1,1360.96,30951.27,32312.23,3084424,44401135
50,2,0x84505bc7b4a0DC810B08751920Bf457729A62f6B,1,1061.93,31237.51,32299.44,3084424,44401135
50,2,0x29a54cEE9547Ef787034567391D2B3AF8f1E2A50,0,,,31999.01,,
50,2,0xAeAE931031E2FF6120D555BDF6212021Dd9E844c,0,,,31698.77,,
50,2,0xb536E4FdF6542513BF32FCDc3Be59B2DEDe4ea81,1,14299.17,17386.92,31686.09,3084424,44401142
50,2,0x7944216BE15297371F32E04A2A9Dc7a2B7E856De,0,,,31386.18,,
50,2,0xada303f0B657E05B7565FEeB6895be2f72b41a86,0,,,31085.97,,
50,2,0xFb6922D1Eb51178a87E89b13633b40D754654552,0,,,30786.77,,
50,2,0x341949BA61696B97873959903832b39157C20852,0,,,30486.14,,
50,2,0x5f477249301E26761388972513798A4D3511155e,0,,,30186.04,,
50,2,0x88fcA509b50874fe638eeaB02B173cf1689F2835,0,,,29886.84,,
50,2,0x52fddd283Af97cd8F511fc30d49A0b06E4648bA0,1,14552.43,15468.44,30020.87,3084424,44401143
50,2,0xDFB11e087Ef8495d61be5028e1a720783D71D9AB,1,25745.96,4406.62,30152.59,3084424,44401149
50,2,0x46c078872B5c5c38dBA3e9E3f049dc341307524d,0,,,29852.70,,
50,2,0xA37d54a0391A317281d782a12F6D2375e9BDAA3f,0,,,29551.94,,
50,2,0x01a698965cd5415b6F02d76B405DA0558Be82cEa,0,,,29252.54,,
50,2,0x8dd2E72B27241fb2aB37DEBa84A501B08aFD29eb,0,,,28952.27,,
50,2,0xAED75eAE61C8D62BA917D40E120A5d8b9Ed13A6E,1,22909.09,6294.44,29203.53,3084424,44401148
50,2,0x9681071c523E88044929A4c3050928d0B3B5391E,0,,,28903.58,,
50,2,0xE4B4CF75fb3899cfabf538EE1a6B50dc629b34a1,0,,,28604.19,,
50,2,0xd04819bB6a6d55df3AF2932B03593E2e6792B5E3,0,,,28303.40,,
50,2,0x234f2272c11BB1D5DDb08E77D3A49E90b0A540c0,0,,,28003.58,,
50,2,0x2A945d92a9031f0C5F549806F81E79813D5528eB,0,,,27703.81,,
50,2,0x596b462a9606c96F75cD4c4E0DB94f9d929dE9d2,0,,,27403.94,,
50,2,0xBD89C58F4897f9353894d96D331BbC61573E2b84,0,,,27103.97,,
50,2,0xE4254Bd8f742f3Ba8A5A05663a050f2CBCf3957D,0,,,26804.29,,
50,2,0xd6B5a1CEABEf5CED09eb9F3c565A44c0b5A944FC,0,,,26504.24,,
50,2,0x153370b30D801a8C3b08DAB75522256eAd5Ba228,0,,,26203.71,,
50,2,0x0188D240f7Ae17b030690c17bFb47c3b081DBD6d,0,,,25904.20,,
